image_id,file_name,distortion,severity,snr_db,var,amount,ksize,angle
128372,000000128372.jpg,gauss_noise,low,21.2057,298.05,,,
128598,000000128598.jpg,gauss_noise,low,18.5624,176.39,,,
129054,000000129054.jpg,gauss_noise,low,22.6473,100.33,,,
129062,000000129062.jpg,gauss_noise,low,19.0514,183.4,,,
129756,000000129756.jpg,gauss_noise,low,19.576,166.43,,,
130566,000000130566.jpg,gauss_noise,low,21.8314,145.73,,,
130826,000000130826.jpg,gauss_noise,low,19.1553,255.67,,,
131273,000000131273.jpg,gauss_noise,low,15.5334,289.76,,,
131379,000000131379.jpg,gauss_noise,low,19.5397,208.36,,,
131386,000000131386.jpg,gauss_noise,low,22.6967,251.79,,,
131556,000000131556.jpg,gauss_noise,low,24.6683,193.52,,,
131938,000000131938.jpg,gauss_noise,low,18.1467,232.45,,,
132116,000000132116.jpg,gauss_noise,low,16.168,261.32,,,
132329,000000132329.jpg,gauss_noise,low,21.3478,123.52,,,
132796,000000132796.jpg,gauss_noise,low,17.5874,173.35,,,
132931,000000132931.jpg,gauss_noise,low,21.1523,155.26,,,
133233,000000133233.jpg,gauss_noise,low,19.2583,292.62,,,
133631,000000133631.jpg,gauss_noise,low,18.7367,176.53,,,
133778,000000133778.jpg,gauss_noise,low,21.477,151.02,,,
133969,000000133969.jpg,gauss_noise,low,17.3517,268.56,,,
134034,000000134034.jpg,gauss_noise,low,19.5549,171.04,,,
134882,000000134882.jpg,gauss_noise,low,20.1692,285.5,,,
134886,000000134886.jpg,gauss_noise,low,19.3844,281.37,,,
135561,000000135561.jpg,gauss_noise,low,17.8008,198.03,,,
135670,000000135670.jpg,gauss_noise,low,20.3775,179.22,,,
136033,000000136033.jpg,gauss_noise,low,20.2475,147.26,,,
136334,000000136334.jpg,gauss_noise,low,22.4051,135.0,,,
136915,000000136915.jpg,gauss_noise,low,18.0669,251.76,,,
137294,000000137294.jpg,gauss_noise,low,17.3165,286.91,,,
138492,000000138492.jpg,gauss_noise,low,19.3372,146.23,,,
138856,000000138856.jpg,gauss_noise,low,20.6007,137.61,,,
138954,000000138954.jpg,gauss_noise,low,18.1082,294.48,,,
138979,000000138979.jpg,gauss_noise,low,19.6811,170.07,,,
139684,000000139684.jpg,gauss_noise,low,20.5445,213.62,,,
140420,000000140420.jpg,gauss_noise,low,15.0659,196.03,,,
140439,000000140439.jpg,gauss_noise,low,21.9325,253.53,,,
140640,000000140640.jpg,gauss_noise,low,18.2299,141.86,,,
140840,000000140840.jpg,gauss_noise,low,23.8294,123.83,,,
140987,000000140987.jpg,gauss_noise,low,23.0952,114.65,,,
142092,000000142092.jpg,gauss_noise,low,18.8651,166.81,,,
142238,000000142238.jpg,gauss_noise,low,18.8746,176.92,,,
142790,000000142790.jpg,gauss_noise,low,21.8823,258.43,,,
143556,000000143556.jpg,gauss_noise,low,19.4059,265.45,,,
143998,000000143998.jpg,gauss_noise,low,22.9661,107.51,,,
144003,000000144003.jpg,gauss_noise,low,19.0056,270.85,,,
144300,000000144300.jpg,gauss_noise,low,18.5174,289.94,,,
144333,000000144333.jpg,gauss_noise,low,21.4217,196.97,,,
144984,000000144984.jpg,gauss_noise,low,18.8283,161.44,,,
145620,000000145620.jpg,gauss_noise,low,19.3951,193.54,,,
145665,000000145665.jpg,gauss_noise,low,12.869,203.9,,,
146825,000000146825.jpg,gauss_noise,low,17.9155,185.5,,,
147729,000000147729.jpg,gauss_noise,low,10.7358,256.49,,,
148730,000000148730.jpg,gauss_noise,low,21.4103,241.26,,,
